,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.86,0.04,0.85,0.89,1.05,0.86,0.98,1,0
Extreme precipitation day,0.75,0.87,1.74,0.94,4.86,0.93,4.14,1,1
Annual avg Tmax (C),19.87,0.39,20.58,22.32,23.94,23.4,27.48,3,3
Maximum Daily Precipitation (mm/day),29.9,12.48,29.9,31.56,79.87,30.6,75.02,1,1
SPEI,-0.01,0.34,-0.11,-0.39,-0.98,-0.69,-1.59,2,3
