,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),1.45,0.07,1.45,1.57,1.85,1.56,1.86,2,2
Extreme precipitation day,0.72,0.84,5.62,0.94,4.38,1.05,4.81,1,1
Annual avg Tmax (C),12.27,0.39,12.96,14.59,15.75,15.64,19.03,3,3
Maximum Daily Precipitation (mm/day),36.81,14.53,37.55,39.04,94.01,40.85,111.07,1,1
SPEI,-0.01,0.24,-0.03,-0.16,-1.07,-0.45,-1.48,1,2
