,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),2.84,0.08,3.08,3.02,3.29,3.12,3.41,3,3,2.9,3.01,3,3.1,3,3.09,3,3.25,3
Extreme precipitation day,2.5,0.83,6.76,3.29,9.05,3.83,10.86,1,2,2.79,3.54,1,3.62,2,3.7,2,5.05,2
Annual avg Tmax (C),16.72,0.37,17.93,18.93,20.71,19.9,22.82,3,3,17.2,18.98,3,19.58,3,19.57,3,22.16,3
Maximum Daily Precipitation (mm/day),43.72,7.48,85.11,47.24,97.15,52.19,112.44,1,2,47.14,50.61,1,49.58,1,55.65,2,58.35,2
SPEI,0.0,0.21,-0.48,0.29,-0.59,0.24,-0.64,0,0,-0.09,0.32,0,0.36,0,0.27,0,0.31,0
Heating Degree Days,5578.09,212.27,6530.31,4615.97,5838.8,4302.38,5812.1,0,0,5346.27,4649.87,0,4355.94,0,4411.93,0,3505.72,0
Extreme Degree Days,0.0,0.0,0.77,0.0,4.28,0.0,31.0,0,0,0.03,0.08,0,0.37,0,0.18,0,5.61,3
Cooling Degree Days,681.69,75.08,1026.14,1214.95,1742.68,1444.75,2608.19,3,3,788.95,1236.06,3,1362.16,3,1392.67,3,2191.55,3
Wildfire,,,,5.08,,4.07,,0,0,3.88,4.56,0,5.6,1,3.45,0,4.69,0
