,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),0.8,0.04,0.9,0.86,1.03,0.85,1.03,2,2,0.79,0.83,2,0.85,2,0.86,2,0.94,3
Extreme precipitation day,0.57,0.72,4.29,1.02,5.1,1.19,5.33,1,1,0.92,1.24,1,1.33,1,1.33,1,1.66,2
Annual avg Tmax (C),16.43,0.37,17.26,18.95,20.13,20.05,23.52,3,3,16.91,19.12,3,19.86,3,19.65,3,22.52,3
Maximum Daily Precipitation (mm/day),23.57,6.29,69.01,26.5,77.23,26.56,72.52,1,1,26.61,28.62,1,29.5,1,29.31,1,31.67,2
SPEI,-0.01,0.28,-0.55,-0.34,-1.16,-0.58,-1.57,2,3,-0.12,-0.19,1,-0.35,2,-0.55,3,-0.97,3
Heating Degree Days,6912.16,218.33,7786.86,5670.3,6967.34,5307.39,7110.51,0,0,6676.41,5640.19,0,5367.05,0,5425.29,0,4306.57,0
Extreme Degree Days,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0,0,0.0,0.0,0,0.0,0,0.0,0,0.57,3
Cooling Degree Days,278.08,49.43,534.2,694.46,1173.69,907.24,1980.64,3,3,354.14,713.99,3,859.71,3,844.83,3,1514.03,3
Wildfire,,,,12.9,,13.33,,2,2,11.3,11.16,1,14.64,2,12.34,2,14.32,2
